ID,X,Y,V,Time
1,90,35,1.98968,Apr-05
2,90,32.5,2.85968,Apr-05
3,90,30,3.02936,Apr-05
4,90,27.5,1.42968,Apr-05
5,90,25,-0.140966,Apr-05
6,90,22.5,-2.76935,Apr-05
7,90,20,-3.60968,Apr-05
8,90,17.5,-5.31935,Apr-05
9,90,15,-5.07419,Apr-05
10,92.5,35,3.55613,Apr-05
11,92.5,32.5,3.21613,Apr-05
12,92.5,30,1.89484,Apr-05
13,92.5,27.5,0.867743,Apr-05
14,92.5,25,-0.209998,Apr-05
15,92.5,22.5,-1.76806,Apr-05
16,92.5,20,-3.19484,Apr-05
17,92.5,17.5,-4.95,Apr-05
18,92.5,15,-4.4229,Apr-05
19,95,35,4.62968,Apr-05
20,95,32.5,3.73968,Apr-05
21,95,30,2.48807,Apr-05
22,95,27.5,0.650646,Apr-05
23,95,25,-1.19677,Apr-05
24,95,22.5,-0.332902,Apr-05
25,95,20,-0.49903,Apr-05
26,95,17.5,-2.27355,Apr-05
27,95,15,-2.43419,Apr-05
28,97.5,35,3.05774,Apr-05
29,97.5,32.5,2.82936,Apr-05
30,97.5,30,3.51871,Apr-05
31,97.5,27.5,1.64161,Apr-05
32,97.5,25,-1.05355,Apr-05
33,97.5,22.5,0.608066,Apr-05
34,97.5,20,1.26065,Apr-05
35,97.5,17.5,0.0809686,Apr-05
36,97.5,15,-0.494836,Apr-05
37,100,35,0.713227,Apr-05
38,100,32.5,0.721937,Apr-05
39,100,30,2.46549,Apr-05
40,100,27.5,2.4742,Apr-05
41,100,25,1.15129,Apr-05
42,100,22.5,1.70452,Apr-05
43,100,20,1.45452,Apr-05
44,100,17.5,0.53613,Apr-05
45,100,15,-0.56032,Apr-05
46,102.5,35,-0.17387,Apr-05
47,102.5,32.5,-0.946449,Apr-05
48,102.5,30,-0.41387,Apr-05
49,102.5,27.5,1.55904,Apr-05
50,102.5,25,2.67871,Apr-05
51,102.5,22.5,2.0571,Apr-05
52,102.5,20,0.735163,Apr-05
53,102.5,17.5,-0.65258,Apr-05
54,102.5,15,-2.71097,Apr-05
55,105,35,0.0145175,Apr-05
56,105,32.5,-1.1258,Apr-05
57,105,30,-1.88742,Apr-05
58,105,27.5,0.416775,Apr-05
59,105,25,2.17258,Apr-05
60,105,22.5,1.17484,Apr-05
61,105,20,-0.53774,Apr-05
62,105,17.5,-2.19903,Apr-05
63,105,15,-3.35419,Apr-05
64,107.5,35,0.165809,Apr-05
65,107.5,32.5,-0.120966,Apr-05
66,107.5,30,-0.693548,Apr-05
67,107.5,27.5,0.17484,Apr-05
68,107.5,25,0.214517,Apr-05
69,107.5,22.5,-0.739999,Apr-05
70,107.5,20,-2.52806,Apr-05
71,107.5,17.5,-4.31,Apr-05
72,107.5,15,-3.83742,Apr-05
73,110,35,-0.640644,Apr-05
74,110,32.5,-0.0190307,Apr-05
75,110,30,-0.237095,Apr-05
76,110,27.5,-1.01322,Apr-05
77,110,25,-2.02193,Apr-05
78,110,22.5,-2.34355,Apr-05
79,110,20,-4.16935,Apr-05
80,110,17.5,-6.36355,Apr-05
81,110,15,-6.22903,Apr-05
82,112.5,35,-2.05129,Apr-05
83,112.5,32.5,-1.57871,Apr-05
84,112.5,30,-2.10097,Apr-05
85,112.5,27.5,-3.05484,Apr-05
86,112.5,25,-3.14742,Apr-05
87,112.5,22.5,-3.41709,Apr-05
88,112.5,20,-5.60774,Apr-05
89,112.5,17.5,-7.07484,Apr-05
90,112.5,15,-6.66161,Apr-05
91,115,35,-2.31935,Apr-05
92,115,32.5,-2.26581,Apr-05
93,115,30,-2.58968,Apr-05
94,115,27.5,-2.98258,Apr-05
95,115,25,-3.17645,Apr-05
96,115,22.5,-4.98193,Apr-05
97,115,20,-7.19161,Apr-05
98,115,17.5,-6.88225,Apr-05
99,115,15,-5.12322,Apr-05
